GRAPH,Algorithm,Execução,Resultado
100-7920,Djkstra - Matriz,7,0.0167162
100-7920,Djkstra - Matriz,8,0.0173337
100-7920,Djkstra - Matriz,9,0.0193251
100-7920,Djkstra - Matriz,10,0.0172333
100-7920,Floyd,1,0.4486809
100-7920,Floyd,2,0.4386516
100-7920,Floyd,3,0.4879201
100-7920,Floyd,4,0.4390029
100-7920,Floyd,5,0.4326247
100-7920,Floyd,6,0.4297137
100-7920,Floyd,7,0.4310026
100-7920,Floyd,8,0.4424624
100-7920,Floyd,9,0.4273955
100-7920,Floyd,10,0.507205
100-7920,Fulkerson,1,0.0072287
100-7920,Fulkerson,2,0.0087815
100-7920,Fulkerson,3,0.0076296
100-7920,Fulkerson,4,0.0075469
100-7920,Fulkerson,5,0.0125618
100-7920,Fulkerson,6,0.0071864
100-7920,Fulkerson,7,0.0079958
100-7920,Fulkerson,8,0.0071031
100-7920,Fulkerson,9,0.007826
100-7920,Fulkerson,10,0.0064136
100-9900,BFS,1,0.0193306
100-9900,BFS,2,0.0210017
100-9900,BFS,3,0.0193172
100-9900,BFS,4,0.0196073
100-9900,BFS,5,0.0188819
100-9900,BFS,6,0.0195571
100-9900,BFS,7,0.0191985
100-9900,BFS,8,0.0171209
100-9900,BFS,9,0.0173627
100-9900,BFS,10,0.0172163
100-9900,DFS,1,0.0134663
100-9900,DFS,2,0.0130006
100-9900,DFS,3,0.013081
100-9900,DFS,4,0.013452
100-9900,DFS,5,0.0137529
100-9900,DFS,6,0.0126607
100-9900,DFS,7,0.014262
100-9900,DFS,8,0.0128541
100-9900,DFS,9,0.0128792
100-9900,DFS,10,0.0133435
100-9900,Ordenação,1,0.0144996
100-9900,Ordenação,2,0.0163764
100-9900,Ordenação,3,0.0129973
100-9900,Ordenação,4,0.0142953
100-9900,Ordenação,5,0.0170939
100-9900,Ordenação,6,0.0149057
100-9900,Ordenação,7,0.0144966
100-9900,Ordenação,8,0.0132957
100-9900,Ordenação,9,0.0121613
100-9900,Ordenação,10,0.0117248
100-9900,Kruskal,1,0.0238134
100-9900,Kruskal,2,0.0263464
100-9900,Kruskal,3,0.0229138
100-9900,Kruskal,4,0.023771
100-9900,Kruskal,5,0.0242945
100-9900,Kruskal,6,0.0259305
100-9900,Kruskal,7,0.0271739
100-9900,Kruskal,8,0.0229573
100-9900,Kruskal,9,0.0226358
100-9900,Kruskal,10,0.0243323
100-9900,Prim,1,0.0246215
100-9900,Prim,2,0.0238271
100-9900,Prim,3,0.0209227
100-9900,Prim,4,0.0207825
100-9900,Prim,5,0.0208514
100-9900,Prim,6,0.0201889
100-9900,Prim,7,0.0211181
100-9900,Prim,8,0.0195517
100-9900,Prim,9,0.019798
100-9900,Prim,10,0.0203799
100-9900,Bellman - Lista,1,0.0160619
100-9900,Bellman - Lista,2,0.0141143
100-9900,Bellman - Lista,3,0.0149461
100-9900,Bellman - Lista,4,0.0166609
100-9900,Bellman - Lista,5,0.0166038
100-9900,Bellman - Lista,6,0.0167032
100-9900,Bellman - Lista,7,0.0143816
100-9900,Bellman - Lista,8,0.0143347
100-9900,Bellman - Lista,9,0.0129484
100-9900,Bellman - Lista,10,0.014648
100-9900,Bellman - Matriz,1,0.0165955
100-9900,Bellman - Matriz,2,0.0149586
100-9900,Bellman - Matriz,3,0.0138111
100-9900,Bellman - Matriz,4,0.0156978
100-9900,Bellman - Matriz,5,0.0131037
100-9900,Bellman - Matriz,6,0.0144666
100-9900,Bellman - Matriz,7,0.0122952
100-9900,Bellman - Matriz,8,0.0109903
100-9900,Bellman - Matriz,9,0.0133634
100-9900,Bellman - Matriz,10,0.0123138
100-9900,Djkstra - Lista,1,0.0227688
100-9900,Djkstra - Lista,2,0.0205274
100-9900,Djkstra - Lista,3,0.0207667
100-9900,Djkstra - Lista,4,0.0197984
100-9900,Djkstra - Lista,5,0.0199655
100-9900,Djkstra - Lista,6,0.0202373
100-9900,Djkstra - Lista,7,0.0199801
100-9900,Djkstra - Lista,8,0.0201544
100-9900,Djkstra - Lista,9,0.0196946
100-9900,Djkstra - Lista,10,0.0223203
100-9900,Djkstra - Matriz,1,0.0298808
100-9900,Djkstra - Matriz,2,0.0207477
100-9900,Djkstra - Matriz,3,0.0244202
100-9900,Djkstra - Matriz,4,0.0204052
100-9900,Djkstra - Matriz,5,0.01859
100-9900,Djkstra - Matriz,6,0.019232
